customer_id,order_id,name,phone,email,bank_card,id_card,order_date,order_amount
C10001,SO1000000001,罗娜,13466431365,order8678@shop.example.org,6296912342978539,32010619800801738X,2026-03-08,4486.11
C10002,SO1000000002,李静,18811406822,vip7677@mail.test,6263815277849766,510107199609081519,2026-05-28,1086.64
C10003,SO1000000003,胡磊,17401798553,service3822@mail.test,6227121169152525,310104197511138067,2026-02-04,2767.53
C10004,SO1000000004,徐静,18942821624,customer7705@shop.example.org,6236592785383612,44030519931009557X,2026-07-29,7434.68
C10005,SO1000000005,黄洋,19910953556,buyer5259@corp.internal,6291705244776885,610113198212253868,2026-03-26,8299.60
C10006,SO1000000006,胡丽,15708108061,service9627@example.com,6207656393885576,440305197504222275,2026-09-25,4395.41
C10007,SO1000000007,孙静,18907294449,order4445@corp.internal,6258259123958272,510107197111183180,2026-01-22,2652.45
C10008,SO1000000008,周悦,13794294724,vip6226@shop.example.org,6225773492065790,310104198508017349,2026-04-21,8406.83
C10009,SO1000000009,赵艳,17103999047,service6773@mail.test,6209756541964576,310104200012280207,2026-02-20,676.45
C10010,SO1000000010,吴悦,13933695357,service8764@shop.example.org,6243754143362040,320106197410270063,2026-06-02,625.24
C10011,SO1000000011,郭勇,13330593126,service8982@example.com,6212567615832614,320106197003070590,2026-09-03,3614.82
C10012,SO1000000012,吴刚,15343783660,order5575@example.com,6237190708743779,320106197301084368,2026-02-11,8429.68
C10013,SO1000000013,吴霞,18106672988,order3381@mail.test,6248652859298256,440305198907057037,2026-03-26,7514.19
C10014,SO1000000014,朱明,19247907002,user3599@shop.example.org,6247139186917056,330106198905067952,2026-03-07,3852.31
C10015,SO1000000015,杨磊,17020818733,customer4310@shop.example.org,6218667049212104,320106200211277400,2026-03-11,397.83
C10016,SO1000000016,徐洋,19568018045,order0070@example.com,6227577431689786,610113198003138708,2026-01-31,7552.12
C10017,SO1000000017,陈丽,18077702486,user3175@example.com,6223036996398626,110101199304099686,2026-05-11,7992.99
C10018,SO1000000018,郭丽,15973373596,customer4682@corp.internal,6218960477027056,610113199511131144,2026-04-12,2103.12
C10019,SO1000000019,朱健,13146003102,order1172@example.com,6286084377618380,110101197509263663,2026-05-19,8158.62
C10020,SO1000000020,林超,18219346907,user0059@shop.example.org,6257498498337966,320106199512209772,2026-05-14,3918.64
C10021,SO1000000021,陈勇,15637035578,user1009@example.com,6237043477428371,610113200106074495,2026-07-05,1393.11
C10022,SO1000000022,胡健,13967732552,vip4603@example.com,6268212574792581,320106198702095660,2026-02-15,1578.07
C10023,SO1000000023,马强,18268864660,service7875@shop.example.org,6210131030317354,310104198910074341,2026-08-10,9579.46
C10024,SO1000000024,胡涛,19634204028,customer3037@corp.internal,6295075689617770,320106198102075172,2026-08-26,2428.72
C10025,SO1000000025,杨艳,18049216230,service4839@corp.internal,6210084774760547,330106197705016021,2026-09-08,8155.46
C10026,SO1000000026,徐丽,17412824235,service9510@shop.example.org,6267160377675217,610113197504196936,2026-02-11,2759.92
C10027,SO1000000027,林悦,15242805621,service9029@shop.example.org,6293213097853008,320106199909277730,2026-05-18,7786.19
C10028,SO1000000028,陈健,15237818308,user2193@shop.example.org,6240053914316126,320106199512260789,2026-06-22,6126.39
C10029,SO1000000029,陈娜,18119789467,vip9098@mail.test,6254933519038196,320106198102137097,2026-05-17,3954.11
C10030,SO1000000030,周勇,17367157432,user3219@shop.example.org,6269744470985447,310104198604072655,2026-03-18,8139.24
C10031,SO1000000031,孙丽,19259456416,service3766@shop.example.org,6290095177446735,110101197812160368,2026-03-19,8410.80
C10032,SO1000000032,周洋,17173011974,buyer9037@mail.test,6277888693127772,320106199805133150,2026-02-12,5050.32
C10033,SO1000000033,赵磊,15827154514,customer7608@mail.test,6299317254659043,310104199812133795,2026-09-08,4665.35
