customer_id,order_id,name,phone,email,bank_card,id_card,order_date,order_amount
C10002,SO1000000121,李静,18811406822,vip7677@mail.test,6263815277849766,510107199609081519,2026-07-06,6790.59
C10005,SO1000000122,黄洋,19910953556,buyer5259@corp.internal,6291705244776885,610113198212253868,2026-06-19,6885.01
C10008,SO1000000123,周悦,13794294724,vip6226@shop.example.org,6225773492065790,310104198508017349,2026-03-19,7836.54
C10011,SO1000000124,郭勇,13330593126,service8982@example.com,6212567615832614,320106197003070590,2026-07-20,455.98
C10014,SO1000000125,朱明,19247907002,user3599@shop.example.org,6247139186917056,330106198905067952,2026-06-23,9396.54
C10017,SO1000000126,陈丽,18077702486,user3175@example.com,6223036996398626,110101199304099686,2026-06-22,2408.85
C10020,SO1000000127,林超,18219346907,user0059@shop.example.org,6257498498337966,320106199512209772,2026-09-25,4319.66
C10023,SO1000000128,马强,18268864660,service7875@shop.example.org,6210131030317354,310104198910074341,2026-05-08,2068.57
C10026,SO1000000129,徐丽,17412824235,service9510@shop.example.org,6267160377675217,610113197504196936,2026-07-20,3740.66
C10029,SO1000000130,陈娜,18119789467,vip9098@mail.test,6254933519038196,320106198102137097,2026-09-16,5822.98
C10032,SO1000000131,周洋,17173011974,buyer9037@mail.test,6277888693127772,320106199805133150,2026-08-05,772.71
C10035,SO1000000132,陈平,17834629511,service5749@corp.internal,6255669997323028,440305200204282748,2026-08-21,4779.39
C10038,SO1000000133,高洋,19354600638,customer4132@corp.internal,6286209820902830,420106198402044574,2026-04-14,608.86
C10041,SO1000000134,吴刚,13122619107,order7150@mail.test,6253165681561835,310104199204242517,2026-01-23,2690.58
C10044,SO1000000135,张洋,17798431166,service0585@shop.example.org,6240881864969761,440305199404202217,2026-06-14,3338.47
C10047,SO1000000136,罗丽,13937244953,customer0161@example.com,6298617212928013,510107199904145829,2026-07-13,1137.84
C10050,SO1000000137,胡超,18764239099,customer7681@example.com,6229066726189577,610113200310199607,2026-01-30,5351.77
C10053,SO1000000138,陈悦,18758492192,user7243@mail.test,6257888832152008,440305198608118450,2026-09-15,6967.73
C10056,SO1000000139,林杰,19349311509,buyer2823@corp.internal,6280075290228428,610113197105261542,2026-08-17,6181.74
C10059,SO1000000140,罗洋,18191411424,vip6746@shop.example.org,6267649668363269,110101198411123915,2026-05-20,9849.64
C10062,SO1000000141,郭刚,19450213853,order8472@shop.example.org,6283251556079683,320106198804040556,2026-05-19,6877.67
C10065,SO1000000142,黄伟,13844063019,order5020@mail.test,6259368387628759,610113197304052831,2026-05-12,7549.56
